pc_time,gps_time,tow(sec),latitude(degrees),longitude(degrees),altitude(meters),h_accuracy(meters),v_accuracy(meters),n_sats,flags,a,e,v,,,,,,x,y,z
48:53.5,49:12.0,528552,38.1601366,-122.4532082,-22.0129,0.026,0.057,12,4,6356583.8,0.0819,6371818.383,,-3062202.126,-3927545.231,-5340647.669,,0,0,0
48:53.6,49:12.1,528552.1,38.16013662,-122.4532082,-22.0011,0.026,0.057,12,4,6356583.8,0.0819,6371818.383,,-3062202.101,-3927545.24,-5340647.679,,-3.9788,3.2256,0.035738
48:53.7,49:12.2,528552.2,38.16013664,-122.4532082,-22.0061,0.026,0.058,12,4,6356583.8,0.0819,6371818.383,,-3062202.068,-3927545.239,-5340647.675,,-7.8157,6.3196,0.10497
48:53.8,49:12.3,528552.3,38.16013662,-122.4532082,-22.0024,0.027,0.058,12,4,6356583.8,0.0819,6371818.383,,-3062202.101,-3927545.239,-5340647.678,,-11.796,9.4274,0.10772
48:53.9,49:12.4,528552.4,38.16013664,-122.4532082,-21.9947,0.027,0.059,12,4,6356583.8,0.0819,6371818.383,,-3062202.074,-3927545.246,-5340647.685,,-15.703,12.473,0.14341
48:54.0,49:12.5,528552.5,38.16013663,-122.4532081,-22.0054,0.027,0.059,12,4,6356583.8,0.0819,6371818.383,,-3062202.076,-3927545.211,-5340647.682,,-19.61,15.532,0.18539
48:54.1,49:12.6,528552.6,38.16013664,-122.4532081,-22.0035,0.027,0.06,12,4,6356583.8,0.0819,6371818.383,,-3062202.061,-3927545.213,-5340647.683,,-23.545,18.747,0.24281
48:54.2,49:12.7,528552.7,38.16013674,-122.4532082,-21.9941,0.022,0.048,12,4,6356583.8,0.0819,6371818.383,,-3062201.922,-3927545.255,-5340647.685,,-27.356,21.859,0.26534
48:54.3,49:12.8,528552.8,38.16013674,-122.4532082,-21.9911,0.022,0.049,12,4,6356583.8,0.0819,6371818.383,,-3062201.924,-3927545.256,-5340647.688,,-31.319,25.043,0.30621
48:54.4,49:12.9,528552.9,38.16013671,-122.4532082,-21.9951,0.022,0.05,12,4,6356583.8,0.0819,6371818.383,,-3062201.967,-3927545.251,-5340647.684,,-35.196,28.083,0.34432
48:54.5,49:13.0,528553,38.16013673,-122.4532082,-21.9956,0.023,0.05,12,4,6356583.8,0.0819,6371818.383,,-3062201.937,-3927545.253,-5340647.684,,-39.14,31.14,0.36324
48:54.6,49:13.1,528553.1,38.16013675,-122.4532082,-21.9974,0.023,0.051,12,4,6356583.8,0.0819,6371818.383,,-3062201.905,-3927545.253,-5340647.683,,-43.066,34.3,0.4084
48:54.7,49:13.2,528553.2,38.16013673,-122.4532082,-21.9927,0.024,0.052,12,4,6356583.8,0.0819,6371818.383,,-3062201.938,-3927545.255,-5340647.686,,-47.067,37.334,0.44874
48:54.8,49:13.3,528553.3,38.16013675,-122.4532082,-21.9874,0.024,0.052,12,4,6356583.8,0.0819,6371818.383,,-3062201.91,-3927545.26,-5340647.691,,-50.962,40.342,0.50745
48:54.9,49:13.4,528553.4,38.16013674,-122.4532082,-21.9836,0.024,0.053,12,4,6356583.8,0.0819,6371818.383,,-3062201.927,-3927545.261,-5340647.694,,-54.922,43.411,0.52866
48:55.0,49:13.5,528553.5,38.16013668,-122.4532082,-21.9513,0.024,0.053,12,4,6356583.8,0.0819,6371818.383,,-3062202.034,-3927545.276,-5340647.721,,-58.921,46.46,0.54874
48:55.1,49:13.6,528553.6,38.16013666,-122.4532082,-21.9636,0.025,0.054,12,4,6356583.8,0.0819,6371818.383,,-3062202.058,-3927545.266,-5340647.711,,-62.793,49.602,0.58008
48:55.2,49:13.7,528553.7,38.16013669,-122.4532082,-21.9757,0.025,0.055,12,4,6356583.8,0.0819,6371818.383,,-3062202.007,-3927545.262,-5340647.701,,-66.742,52.709,0.60309
48:55.3,49:13.8,528553.8,38.16013673,-122.4532081,-21.9941,0.026,0.059,12,4,6356583.8,0.0819,6371818.383,,-3062201.929,-3927545.227,-5340647.691,,-70.602,55.808,0.64756
48:55.4,49:13.9,528553.9,38.1601367,-122.4532081,-21.9929,0.026,0.06,12,4,6356583.8,0.0819,6371818.383,,-3062201.975,-3927545.225,-5340647.692,,-74.579,58.888,0.69913
48:55.5,49:14.0,528554,38.16013665,-122.4532082,-22.0176,0.026,0.06,12,4,6356583.8,0.0819,6371818.383,,-3062202.048,-3927545.232,-5340647.665,,-78.573,61.977,0.73437
48:55.6,49:14.1,528554.1,38.16013668,-122.4532082,-22.0141,0.026,0.061,12,4,6356583.8,0.0819,6371818.383,,-3062202.004,-3927545.237,-5340647.668,,-82.512,65.063,0.77665
48:55.7,49:14.2,528554.2,38.16013659,-122.4532083,-21.9845,0.027,0.061,12,4,6356583.8,0.0819,6371818.383,,-3062202.163,-3927545.275,-5340647.687,,-86.508,67.97,0.80147
48:55.8,49:14.3,528554.3,38.16013666,-122.4532082,-22.0151,0.027,0.063,12,4,6356583.8,0.0819,6371818.383,,-3062202.034,-3927545.235,-5340647.668,,-90.522,71.083,0.8308
48:55.9,49:14.4,528554.4,38.1601367,-122.4532082,-22.009,0.027,0.063,12,4,6356583.8,0.0819,6371818.383,,-3062201.976,-3927545.242,-5340647.673,,-94.525,73.975,0.85947
48:56.0,49:14.5,528554.5,38.16013672,-122.4532083,-21.9993,0.028,0.063,12,4,6356583.8,0.0819,6371818.383,,-3062201.958,-3927545.277,-5340647.675,,-98.834,76.57,0.91471
48:56.1,49:14.6,528554.6,38.16013675,-122.4532084,-22.0007,0.028,0.064,12,4,6356583.8,0.0819,6371818.383,,-3062201.92,-3927545.306,-5340647.668,,-102.83,79.515,0.987
48:56.2,49:14.7,528554.7,38.16013692,-122.4532083,-22.0233,0.028,0.065,12,4,6356583.8,0.0819,6371818.383,,-3062201.643,-3927545.279,-5340647.655,,-107.06,82.205,1.0446
48:56.3,49:14.8,528554.8,38.16013706,-122.4532083,-22.0152,0.022,0.052,12,4,6356583.8,0.0819,6371818.383,,-3062201.434,-3927545.297,-5340647.662,,-111.16,85.003,1.1265
48:56.4,49:14.9,528554.9,38.16013713,-122.4532083,-22.0186,0.023,0.053,12,4,6356583.8,0.0819,6371818.383,,-3062201.325,-3927545.301,-5340647.659,,-115.48,87.617,1.1976
48:56.5,49:15.0,528555,38.1601372,-122.4532085,-22.0251,0.023,0.053,12,4,6356583.8,0.0819,6371818.383,,-3062201.233,-3927545.357,-5340647.641,,-119.79,90.149,1.2977
48:56.6,49:15.1,528555.1,38.16013732,-122.4532085,-22.0272,0.024,0.054,12,4,6356583.8,0.0819,6371818.383,,-3062201.049,-3927545.366,-5340647.64,,-123.96,92.899,1.4261
48:56.7,49:15.2,528555.2,38.16013747,-122.4532086,-22.0314,0.024,0.055,12,4,6356583.8,0.0819,6371818.383,,-3062200.827,-3927545.404,-5340647.63,,-128.14,95.604,1.5534
48:56.8,49:15.3,528555.3,38.16013766,-122.4532087,-22.0262,0.024,0.056,12,4,6356583.8,0.0819,6371818.383,,-3062200.549,-3927545.451,-5340647.628,,-132.36,98.247,1.7003
48:56.9,49:15.4,528555.4,38.16013785,-122.4532088,-22.0234,0.025,0.056,12,4,6356583.8,0.0819,6371818.383,,-3062200.27,-3927545.496,-5340647.625,,-136.54,101.04,1.8176
48:57.0,49:15.5,528555.5,38.1601381,-122.4532088,-22.0134,0.025,0.057,12,4,6356583.8,0.0819,6371818.383,,-3062199.894,-3927545.524,-5340647.633,,-140.61,103.91,1.8384
48:57.1,49:15.6,528555.6,38.16013837,-122.4532089,-22.0111,0.025,0.058,12,4,6356583.8,0.0819,6371818.383,,-3062199.493,-3927545.576,-5340647.629,,-144.77,106.79,1.8899
48:57.2,49:15.7,528555.7,38.16013857,-122.4532091,-22.0098,0.026,0.059,12,4,6356583.8,0.0819,6371818.383,,-3062199.206,-3927545.648,-5340647.618,,-148.88,109.63,1.959
48:57.3,49:15.8,528555.8,38.16013882,-122.4532093,-22.0096,0.026,0.059,12,4,6356583.8,0.0819,6371818.383,,-3062198.843,-3927545.724,-5340647.607,,-152.84,112.65,2.0057
48:57.4,49:15.9,528555.9,38.16013909,-122.4532094,-22.0149,0.026,0.06,12,4,6356583.8,0.0819,6371818.383,,-3062198.438,-3927545.772,-5340647.596,,-156.88,115.6,2.0065
48:57.5,49:16.0,528556,38.16013931,-122.4532095,-22.0218,0.027,0.061,12,4,6356583.8,0.0819,6371818.383,,-3062198.109,-3927545.814,-5340647.584,,-160.92,118.56,2.1076
48:57.6,49:16.1,528556.1,38.16013955,-122.4532096,-22.017,0.027,0.061,12,4,6356583.8,0.0819,6371818.383,,-3062197.754,-3927545.865,-5340647.583,,-164.91,121.5,2.2171
48:57.7,49:16.2,528556.2,38.16013972,-122.4532096,-22.0147,0.027,0.062,12,4,6356583.8,0.0819,6371818.383,,-3062197.497,-3927545.881,-5340647.585,,-168.95,124.44,2.3643
48:57.8,49:16.3,528556.3,38.16013978,-122.4532097,-22.0318,0.027,0.062,12,4,6356583.8,0.0819,6371818.383,,-3062197.406,-3927545.903,-5340647.564,,-173.04,127.41,2.5291
48:57.9,49:16.4,528556.4,38.16013982,-122.4532097,-22.0317,0.028,0.063,12,4,6356583.8,0.0819,6371818.383,,-3062197.345,-3927545.906,-5340647.564,,-177.05,130.35,2.6873
48:58.0,49:16.5,528556.5,38.16013986,-122.4532097,-22.0093,0.028,0.064,12,4,6356583.8,0.0819,6371818.383,,-3062197.295,-3927545.924,-5340647.583,,-181.09,133.35,2.8419
48:58.1,49:16.6,528556.6,38.16013989,-122.4532098,-22.0078,0.028,0.064,12,4,6356583.8,0.0819,6371818.383,,-3062197.258,-3927545.954,-5340647.578,,-184.97,136.4,3.0317
48:58.2,49:16.7,528556.7,38.16014001,-122.4532098,-22.0171,0.022,0.051,12,4,6356583.8,0.0819,6371818.383,,-3062197.071,-3927545.959,-5340647.571,,-188.98,139.43,3.1583
48:58.3,49:16.8,528556.8,38.16014005,-122.4532099,-22.0186,0.023,0.052,12,4,6356583.8,0.0819,6371818.383,,-3062197.018,-3927545.989,-5340647.563,,-192.86,142.49,3.2784
48:58.4,49:16.9,528556.9,38.16014008,-122.4532099,-22.0167,0.023,0.053,12,4,6356583.8,0.0819,6371818.383,,-3062196.973,-3927545.993,-5340647.565,,-196.79,145.56,3.4202
48:58.5,49:17.0,528557,38.16014013,-122.4532099,-22.0075,0.023,0.053,12,4,6356583.8,0.0819,6371818.383,,-3062196.902,-3927546.003,-5340647.573,,-200.77,148.59,3.5219
48:58.6,49:17.1,528557.1,38.16014022,-122.45321,-22.0058,0.024,0.054,12,4,6356583.8,0.0819,6371818.383,,-3062196.774,-3927546.039,-5340647.568,,-204.77,151.66,3.6083
48:58.7,49:17.2,528557.2,38.1601404,-122.45321,-22.0045,0.024,0.055,12,4,6356583.8,0.0819,6371818.383,,-3062196.501,-3927546.055,-5340647.569,,-208.78,154.56,3.6875
48:58.8,49:17.3,528557.3,38.16014065,-122.4532102,-22.0131,0.024,0.056,12,4,6356583.8,0.0819,6371818.382,,-3062196.133,-3927546.126,-5340647.55,,-212.77,157.57,3.8082
48:58.9,49:17.4,528557.4,38.160141,-122.4532103,-22.0143,0.025,0.056,12,4,6356583.8,0.0819,6371818.382,,-3062195.609,-3927546.183,-5340647.543,,-216.8,160.65,3.9549
48:59.0,49:17.5,528557.5,38.1601414,-122.4532105,-22.0158,0.025,0.057,12,4,6356583.8,0.0819,6371818.382,,-3062195.016,-3927546.271,-5340647.53,,-220.85,163.47,4.0884
48:59.1,49:17.6,528557.6,38.16014183,-122.4532107,-22.0162,0.025,0.058,12,4,6356583.8,0.0819,6371818.382,,-3062194.379,-3927546.362,-5340647.518,,-224.83,166.6,4.2276
48:59.2,49:17.7,528557.7,38.16014235,-122.4532109,-22.0067,0.026,0.058,12,4,6356583.8,0.0819,6371818.382,,-3062193.609,-3927546.468,-5340647.514,,-228.81,169.62,4.3234
48:59.3,49:17.8,528557.8,38.16014295,-122.4532111,-22.0046,0.026,0.059,12,4,6356583.8,0.0819,6371818.382,,-3062192.714,-3927546.575,-5340647.504,,-232.82,172.63,4.4291
48:59.4,49:17.9,528557.9,38.16014357,-122.4532114,-22.0234,0.026,0.06,12,4,6356583.8,0.0819,6371818.382,,-3062191.787,-3927546.699,-5340647.47,,-236.6,175.8,4.4829
48:59.5,49:18.0,528558,38.16014419,-122.4532117,-22.0209,0.026,0.06,12,4,6356583.8,0.0819,6371818.382,,-3062190.871,-3927546.836,-5340647.454,,-240.46,179.03,4.5449
48:59.6,49:18.1,528558.1,38.16014487,-122.453212,-22.0263,0.027,0.061,12,4,6356583.8,0.0819,6371818.382,,-3062189.859,-3927546.973,-5340647.432,,-244.41,182.11,4.61
48:59.7,49:18.2,528558.2,38.1601456,-122.4532122,-22.0194,0.027,0.062,12,4,6356583.8,0.0819,6371818.382,,-3062188.769,-3927547.095,-5340647.426,,-248.4,185.12,4.648
48:59.8,49:18.3,528558.3,38.16014632,-122.4532124,-22.0268,0.027,0.062,12,4,6356583.8,0.0819,6371818.382,,-3062187.687,-3927547.208,-5340647.408,,-252.4,188.1,4.6728
48:59.9,49:18.4,528558.4,38.16014706,-122.4532127,-22.0204,0.028,0.063,12,4,6356583.8,0.0819,6371818.382,,-3062186.589,-3927547.357,-5340647.395,,-256.52,190.85,4.6917
49:00.0,49:18.5,528558.5,38.16014776,-122.453213,-22.0243,0.028,0.063,12,4,6356583.8,0.0819,6371818.381,,-3062185.548,-3927547.497,-5340647.374,,-260.66,193.73,4.7362
49:00.1,49:18.6,528558.6,38.16014852,-122.4532133,-22.0252,0.028,0.064,12,4,6356583.8,0.0819,6371818.381,,-3062184.416,-3927547.644,-5340647.355,,-264.94,196.23,4.7312
49:00.2,49:18.7,528558.7,38.16014932,-122.4532136,-22.0191,0.022,0.051,12,4,6356583.8,0.0819,6371818.381,,-3062183.228,-3927547.799,-5340647.343,,-269.2,199,4.7492
49:00.3,49:18.8,528558.8,38.16015007,-122.4532139,-22.0236,0.022,0.052,12,4,6356583.8,0.0819,6371818.381,,-3062182.11,-3927547.943,-5340647.321,,-273.35,201.64,4.7603
49:00.4,49:18.9,528558.9,38.16015084,-122.4532142,-22.0249,0.023,0.052,12,4,6356583.8,0.0819,6371818.381,,-3062180.963,-3927548.091,-5340647.302,,-277.48,204.54,4.7026
49:00.5,49:19.0,528559,38.16015162,-122.4532145,-22.0274,0.023,0.053,12,4,6356583.8,0.0819,6371818.381,,-3062179.801,-3927548.238,-5340647.282,,-281.56,207.44,4.6628
49:00.6,49:19.1,528559.1,38.16015241,-122.4532148,-22.0235,0.024,0.054,12,4,6356583.8,0.0819,6371818.381,,-3062178.626,-3927548.391,-5340647.267,,-285.53,210.44,4.5688
49:00.7,49:19.2,528559.2,38.16015322,-122.4532151,-22.0191,0.024,0.055,12,4,6356583.8,0.0819,6371818.381,,-3062177.421,-3927548.546,-5340647.253,,-289.57,213.47,4.3908
49:00.8,49:19.3,528559.3,38.16015399,-122.4532154,-22.0162,0.024,0.055,12,4,6356583.8,0.0819,6371818.381,,-3062176.276,-3927548.696,-5340647.238,,-293.48,216.51,4.1747
49:00.9,49:19.4,528559.4,38.16015471,-122.4532157,-22.0211,0.025,0.056,12,4,6356583.8,0.0819,6371818.381,,-3062175.204,-3927548.837,-5340647.216,,-297.25,219.73,3.9563
49:01.0,49:19.5,528559.5,38.16015548,-122.453216,-22.02,0.025,0.057,12,4,6356583.8,0.0819,6371818.38,,-3062174.058,-3927548.986,-5340647.199,,-300.61,223.48,3.7561
49:01.1,49:19.6,528559.6,38.16015619,-122.4532162,-22.0166,0.025,0.057,12,4,6356583.8,0.0819,6371818.38,,-3062172.997,-3927549.104,-5340647.19,,-302.62,228.01,3.5984
49:01.2,49:19.7,528559.7,38.16015696,-122.4532165,-22.019,0.025,0.058,12,4,6356583.8,0.0819,6371818.38,,-3062171.85,-3927549.251,-5340647.17,,-302.36,233,3.5353
49:01.3,49:19.8,528559.8,38.16015773,-122.4532168,-22.0167,0.026,0.059,12,4,6356583.8,0.0819,6371818.38,,-3062170.705,-3927549.401,-5340647.154,,-301.29,237.9,3.4615
49:01.4,49:19.9,528559.9,38.16015852,-122.4532171,-22.0263,0.026,0.059,12,4,6356583.8,0.0819,6371818.38,,-3062169.523,-3927549.545,-5340647.128,,-299.38,242.57,3.4505
49:01.5,49:20.0,528560,38.1601594,-122.4532174,-22.0185,0.026,0.06,12,4,6356583.8,0.0819,6371818.38,,-3062168.214,-3927549.708,-5340647.117,,-297.13,247.07,3.4657
49:01.6,49:20.1,528560.1,38.16016026,-122.4532177,-22.0195,0.027,0.061,12,4,6356583.8,0.0819,6371818.38,,-3062166.93,-3927549.864,-5340647.098,,-294.27,251.1,3.5032
49:01.7,49:20.2,528560.2,38.16016114,-122.4532181,-22.0296,0.027,0.061,12,4,6356583.8,0.0819,6371818.38,,-3062165.62,-3927550.042,-5340647.066,,-290.64,254.54,3.4511
49:01.8,49:20.3,528560.3,38.16016201,-122.4532184,-22.0219,0.027,0.062,12,4,6356583.8,0.0819,6371818.38,,-3062164.326,-3927550.204,-5340647.054,,-286.78,257.66,3.3952
49:01.9,49:20.4,528560.4,38.16016291,-122.4532187,-22.0213,0.027,0.062,12,4,6356583.8,0.0819,6371818.38,,-3062162.982,-3927550.365,-5340647.037,,-282.41,260.21,3.3656
49:02.0,49:20.5,528560.5,38.16016382,-122.453219,-22.0183,0.028,0.063,12,4,6356583.8,0.0819,6371818.379,,-3062161.625,-3927550.527,-5340647.022,,-277.78,261.93,3.2732
49:02.1,49:20.6,528560.6,38.16016474,-122.4532193,-22.0197,0.028,0.063,12,4,6356583.8,0.0819,6371818.379,,-3062160.25,-3927550.688,-5340647.003,,-273.03,263.51,3.1978
49:02.2,49:20.7,528560.7,38.16016565,-122.4532197,-22.0295,0.022,0.051,12,4,6356583.8,0.0819,6371818.379,,-3062158.894,-3927550.869,-5340646.97,,-268.1,264.44,3.1787
49:02.3,49:20.8,528560.8,38.16016658,-122.4532201,-22.017,0.022,0.051,12,4,6356583.8,0.0819,6371818.379,,-3062157.519,-3927551.066,-5340646.957,,-263.09,264.89,3.3637
49:02.4,49:20.9,528560.9,38.16016752,-122.4532203,-22.0063,0.023,0.052,12,4,6356583.8,0.0819,6371818.379,,-3062156.111,-3927551.209,-5340646.954,,-258.1,264.96,3.6768
49:02.5,49:21.0,528561,38.1601684,-122.4532207,-22.0102,0.023,0.053,12,4,6356583.8,0.0819,6371818.379,,-3062154.804,-3927551.392,-5340646.927,,-253.07,264.74,4.0237
49:02.6,49:21.1,528561.1,38.16016938,-122.453221,-22.0031,0.023,0.054,12,4,6356583.8,0.0819,6371818.379,,-3062153.342,-3927551.563,-5340646.915,,-248.1,264.3,4.3273
49:02.7,49:21.2,528561.2,38.16017036,-122.4532214,-22.0112,0.024,0.054,12,4,6356583.8,0.0819,6371818.379,,-3062151.881,-3927551.752,-5340646.885,,-243.25,263.53,4.5621
49:02.8,49:21.3,528561.3,38.16017135,-122.4532217,-22.0072,0.024,0.055,12,4,6356583.8,0.0819,6371818.379,,-3062150.402,-3927551.922,-5340646.87,,-238.35,262.6,4.7456
49:02.9,49:21.4,528561.4,38.16017236,-122.4532221,-22.0069,0.024,0.056,12,4,6356583.8,0.0819,6371818.378,,-3062148.899,-3927552.118,-5340646.847,,-233.38,261.58,4.8381
49:03.0,49:21.5,528561.5,38.16017339,-122.4532225,-22.0109,0.025,0.057,12,4,6356583.8,0.0819,6371818.378,,-3062147.364,-3927552.314,-5340646.819,,-228.66,260.19,4.8199
49:03.1,49:21.6,528561.6,38.16017443,-122.4532228,-21.9954,0.025,0.057,12,4,6356583.8,0.0819,6371818.378,,-3062145.815,-3927552.496,-5340646.815,,-223.79,258.73,4.8295
49:03.2,49:21.7,528561.7,38.1601754,-122.4532233,-22.0043,0.025,0.058,12,4,6356583.8,0.0819,6371818.378,,-3062144.377,-3927552.71,-5340646.777,,-219.04,257.51,4.8346
49:03.3,49:21.8,528561.8,38.16017647,-122.4532236,-22.0003,0.026,0.058,12,4,6356583.8,0.0819,6371818.378,,-3062142.776,-3927552.887,-5340646.763,,-214.11,256.22,4.8057
49:03.4,49:21.9,528561.9,38.16017749,-122.453224,-22.0054,0.026,0.059,12,4,6356583.8,0.0819,6371818.378,,-3062141.256,-3927553.081,-5340646.735,,-209.57,254.14,4.7223
49:03.5,49:22.0,528562,38.16017853,-122.4532244,-22.0109,0.026,0.06,12,4,6356583.8,0.0819,6371818.378,,-3062139.704,-3927553.277,-5340646.706,,-205.27,251.6,4.6332
49:03.6,49:22.1,528562.1,38.16017957,-122.4532247,-22.0058,0.027,0.06,12,4,6356583.8,0.0819,6371818.378,,-3062138.15,-3927553.452,-5340646.693,,-201.16,248.72,4.5413
49:03.7,49:22.2,528562.2,38.16018059,-122.4532251,-22.0032,0.027,0.061,12,4,6356583.8,0.0819,6371818.377,,-3062136.633,-3927553.651,-5340646.671,,-197.23,245.77,4.4621
49:03.8,49:22.3,528562.3,38.16018161,-122.4532254,-21.9959,0.027,0.062,12,4,6356583.8,0.0819,6371818.377,,-3062135.11,-3927553.826,-5340646.659,,-193.52,242.38,4.3114
49:03.9,49:22.4,528562.4,38.16018262,-122.4532259,-22.0029,0.027,0.062,12,4,6356583.8,0.0819,6371818.377,,-3062133.612,-3927554.045,-5340646.624,,-189.84,238.99,4.2162
49:04.0,49:22.5,528562.5,38.16018365,-122.4532262,-22.0054,0.028,0.063,12,4,6356583.8,0.0819,6371818.377,,-3062132.069,-3927554.214,-5340646.604,,-186.19,235.63,4.134
49:04.1,49:22.6,528562.6,38.16018468,-122.4532266,-22.0087,0.028,0.063,12,4,6356583.8,0.0819,6371818.377,,-3062130.535,-3927554.411,-5340646.577,,-182.53,232.19,4.0624
49:04.2,49:22.7,528562.7,38.16018581,-122.453227,-21.9751,0.022,0.051,12,4,6356583.8,0.0819,6371818.377,,-3062128.865,-3927554.638,-5340646.582,,-179.1,228.58,3.9909
49:04.3,49:22.8,528562.8,38.16018682,-122.4532274,-21.9733,0.022,0.051,12,4,6356583.8,0.0819,6371818.377,,-3062127.363,-3927554.836,-5340646.559,,-175.81,224.84,3.9346
49:04.4,49:22.9,528562.9,38.1601878,-122.4532278,-21.9924,0.023,0.052,12,4,6356583.8,0.0819,6371818.376,,-3062125.897,-3927555.018,-5340646.519,,-172.33,221.13,3.8595
49:04.5,49:23.0,528563,38.16018883,-122.4532282,-21.9858,0.023,0.053,12,4,6356583.8,0.0819,6371818.376,,-3062124.367,-3927555.22,-5340646.501,,-168.81,217.53,3.8051
49:04.6,49:23.1,528563.1,38.16018984,-122.4532286,-21.9893,0.023,0.054,12,4,6356583.8,0.0819,6371818.376,,-3062122.862,-3927555.414,-5340646.474,,-165.28,214.02,3.7335
49:04.7,49:23.2,528563.2,38.16019081,-122.453229,-21.9843,0.024,0.054,12,4,6356583.8,0.0819,6371818.376,,-3062121.422,-3927555.61,-5340646.455,,-161.74,210.5,3.6563
49:04.8,49:23.3,528563.3,38.1601918,-122.4532293,-21.9924,0.024,0.055,12,4,6356583.8,0.0819,6371818.376,,-3062119.938,-3927555.773,-5340646.43,,-158.13,207.15,3.599
49:04.9,49:23.4,528563.4,38.1601928,-122.4532297,-21.9855,0.024,0.056,12,4,6356583.8,0.0819,6371818.376,,-3062118.453,-3927555.973,-5340646.412,,-154.27,203.9,3.5572
49:05.0,49:23.5,528563.5,38.16019382,-122.4532301,-21.9931,0.025,0.056,12,4,6356583.8,0.0819,6371818.376,,-3062116.932,-3927556.165,-5340646.382,,-150.64,200.43,3.5131
49:05.1,49:23.6,528563.6,38.16019479,-122.4532306,-21.993,0.025,0.057,12,4,6356583.8,0.0819,6371818.376,,-3062115.498,-3927556.385,-5340646.352,,-146.99,197.03,3.4391
49:05.2,49:23.7,528563.7,38.1601958,-122.453231,-22.0064,0.025,0.058,12,4,6356583.8,0.0819,6371818.375,,-3062113.989,-3927556.573,-5340646.317,,-143.27,193.8,3.3567
49:05.3,49:23.8,528563.8,38.16019681,-122.4532314,-22.0014,0.026,0.058,12,4,6356583.8,0.0819,6371818.375,,-3062112.488,-3927556.773,-5340646.297,,-139.26,190.8,3.2757
49:05.4,49:23.9,528563.9,38.16019783,-122.4532318,-22.0049,0.026,0.059,12,4,6356583.8,0.0819,6371818.375,,-3062110.968,-3927556.968,-5340646.271,,-135.28,187.71,3.2379
49:05.5,49:24.0,528564,38.16019883,-122.4532323,-22.011,0.026,0.06,12,4,6356583.8,0.0819,6371818.375,,-3062109.486,-3927557.187,-5340646.236,,-131.33,184.68,3.1674
49:05.6,49:24.1,528564.1,38.16019982,-122.4532327,-22.0215,0.027,0.06,12,4,6356583.8,0.0819,6371818.375,,-3062108.008,-3927557.375,-5340646.203,,-127.51,181.37,3.0848
49:05.7,49:24.2,528564.2,38.16020081,-122.4532331,-22.0084,0.027,0.061,12,4,6356583.8,0.0819,6371818.375,,-3062106.542,-3927557.578,-5340646.19,,-123.59,178.37,2.9922
49:05.8,49:24.3,528564.3,38.16020179,-122.4532335,-22.0191,0.027,0.061,12,4,6356583.8,0.0819,6371818.375,,-3062105.08,-3927557.765,-5340646.157,,-119.69,175.27,2.9465
49:05.9,49:24.4,528564.4,38.16020283,-122.4532339,-22.0124,0.027,0.062,12,4,6356583.8,0.0819,6371818.374,,-3062103.534,-3927557.968,-5340646.139,,-115.75,172.16,2.8593
49:06.0,49:24.5,528564.5,38.16020383,-122.4532344,-22.0202,0.028,0.062,12,4,6356583.8,0.0819,6371818.374,,-3062102.051,-3927558.186,-5340646.103,,-111.64,169.17,2.7651
49:06.1,49:24.6,528564.6,38.1602048,-122.4532349,-22.0262,0.028,0.063,12,4,6356583.8,0.0819,6371818.374,,-3062100.615,-3927558.402,-5340646.068,,-107.55,166.34,2.6997
49:06.2,49:24.7,528564.7,38.16020588,-122.4532354,-22.0301,0.022,0.05,12,4,6356583.8,0.0819,6371818.374,,-3062099.012,-3927558.629,-5340646.035,,-103.48,163.44,2.6199
49:06.3,49:24.8,528564.8,38.16020686,-122.4532358,-22.036,0.022,0.051,12,4,6356583.8,0.0819,6371818.374,,-3062097.552,-3927558.82,-5340646.006,,-99.422,160.63,2.5204
49:06.4,49:24.9,528564.9,38.16020789,-122.4532363,-22.0243,0.023,0.052,12,4,6356583.8,0.0819,6371818.374,,-3062096.032,-3927559.052,-5340645.986,,-95.241,157.85,2.4145
49:06.5,49:25.0,528565,38.16020891,-122.4532368,-22.0252,0.023,0.053,12,4,6356583.8,0.0819,6371818.373,,-3062094.522,-3927559.276,-5340645.956,,-90.944,155.24,2.3246
49:06.6,49:25.1,528565.1,38.16020992,-122.4532372,-22.0421,0.023,0.053,12,4,6356583.8,0.0819,6371818.373,,-3062093.011,-3927559.462,-5340645.918,,-86.683,152.75,2.2181
49:06.7,49:25.2,528565.2,38.16021092,-122.4532377,-22.0403,0.024,0.054,12,4,6356583.8,0.0819,6371818.373,,-3062091.533,-3927559.686,-5340645.889,,-82.152,150.51,2.1146
49:06.8,49:25.3,528565.3,38.16021192,-122.4532382,-22.0336,0.024,0.055,12,4,6356583.8,0.0819,6371818.373,,-3062090.056,-3927559.912,-5340645.865,,-77.793,148.14,2.038
49:06.9,49:25.4,528565.4,38.16021294,-122.4532386,-22.0266,0.024,0.056,12,4,6356583.8,0.0819,6371818.373,,-3062088.542,-3927560.114,-5340645.847,,-73.328,145.81,1.9449
49:07.0,49:25.5,528565.5,38.16021393,-122.4532391,-22.0295,0.025,0.056,12,4,6356583.8,0.0819,6371818.373,,-3062087.076,-3927560.334,-5340645.815,,-68.857,143.58,1.8925
49:07.1,49:25.6,528565.6,38.16021495,-122.4532396,-22.0186,0.025,0.057,12,4,6356583.8,0.0819,6371818.372,,-3062085.571,-3927560.565,-5340645.794,,-64.458,141.13,1.8092
